"Verbe";"Macro-catégorie";"Catégorie de base";"Aspect lexical";"Manière";"Paramètre 1";"Paramètre 2";"Définition du TLFi";"Définition de Glawi et du Wiktionnaire";"Commentaire"
"s'étaler";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"manière";"(re)configuration de la cible";"extension";"Forme pronominale de ""étaler"": Exposer, étendre sur une surface plane. / S'étendre de tout son long à terre, notamment à la suite d'une chute, d'un mouvement involontaire.";"Être étalé ou étendu sur une grande surface. / (Familier) S’assoir en prenant toute la place. / (Familier) Tomber lourdement.";""
"s'étendre";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"manière";"(re)configuration de la cible";"extension";"Se déployer. (Quasi-)synon. se déplier, se dérouler, s'étirer. / Prendre une position allongée. / Gagner en surface, se répandre. / Occuper un certain espace, une certaine superficie. (Quasi-)synon. s'étaler. / Couvrir une certaine distance, une certaine longueur. (Quasi-)synon. s'allonger, s'étirer. ";"Tenir un certain espace, se prolonger jusqu’à un certain endroit. / (Familier) (Régionalisme) s’allonger, se coucher, pour faire un petit somme.";""
"s'étirer";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"manière";"(re)configuration de la cible";"";"S'allonger, s'étendre. / Déployer ses membres pour chasser le sommeil ou l'engourdissement.";"(Familier) S’allonger en étendant les membres.";""
"s'évader";"Dpt au sens large";"Dpt au sens strict";"télique";"manière";"discrétion";"vitesse";"S'échapper d'un lieu où l'on était tenu enfermé, prisonnier. / Quitter discrètement un lieu sans éveiller l'attention. Synon. s'éclipser, s'esquiver.";"S’échapper furtivement.";""
"s'évanouir";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Disparaître sans laisser de trace. / Se dissiper. / Perdre conscience.";"Tomber en faiblesse, perdre connaissance. / Disparaître sans laisser de traces, en parlant des choses et, plus rarement, des personnes.";""
"s'évaporer";"Dpt au sens large";"Dpt au sens strict";"télique";"manière";"(re)configuration de la cible";"";"(Le suj. désigne un liquide; le produit qui s'évapore se diffuse, sans laisser de trace, dans l'atmosphère) Se transformer en vapeur sous l'action d'une source de chaleur ou (lentement par sa surface libre) sous l'action du soleil et au contact de l'air.";"Se transformer en vapeur. / Se dissiper. / Disparaitre sans laisser de trace.";""
"s'exclure";"Mouvement inféré";"";"télique";"";"";"";"Forme pronominale de ""exclure"": Renvoyer, éliminer quelqu'un ou quelque chose (d'un lieu ou d'une position qu'il occupait antérieurement).";"Forme pronominale de ""exclure"": Repousser, écarter, ne pas admettre, en parlant des choses comme des personnes.";""
"s'exiler";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Quitter délibérément son pays, partir. / Quitter la ville, la vie mondaine.";"S’éloigner, se retirer ; partir en exil.";""
"s'exorbiter";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Sortir de son orbite.";"Forme pronominale de ""exorbiter"" : Sortir de son orbite.";""
"s'expatrier";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Quitter son pays pour vivre à l'étranger. / Fuir, se réfugier.";"Quitter sa patrie pour s’établir ailleurs, émigrer.";""
"s'extraire";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Forme pronominale de ""extraire"" : Tirer, sortir une chose quelconque d'un endroit où elle est contenue.";"Forme pronominale de ""extraire"" : Tirer ou retirer une chose d’un lieu, d’un corps dans lequel elle s’est formée ou introduite.";""
"s'imbriquer";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"manière";"(re)configuration de la cible";"";"Forme pronominale de ""imbriquer"" : Disposer des choses en les faisant se chevaucher. / Lier, associer étroitement.";"Forme pronominale de ""imbriquer"" : Disposer (par exemple, des tuiles, des blocs dans un programme informatique, etc.) de façon qu’ils se chevauchent ou soient les uns dans les autres.";""
"s'immerger 1";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Se plonger entièrement dans l'eau ou dans un autre liquide. / Se plonger dans une ambiance, une occupation, jusqu'à s'y oublier entièrement.";"Forme pronominale de ""immerger"" : Plonger dans l’eau ou dans tout autre liquide, voire tout autre gaz.";""
"s'immerger 2";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Se plonger entièrement dans l'eau ou dans un autre liquide. / Se plonger dans une ambiance, une occupation, jusqu'à s'y oublier entièrement.";"Forme pronominale de ""immerger"" : Plonger dans l’eau ou dans tout autre liquide, voire tout autre gaz.";""
"s'immobiliser";"Mouvement inféré";"";"télique";"";"";"";"Se figer dans. / S'arrêter. / S'arrêter dans sa progression, son évolution.";"Forme pronominale de ""immobiliser"" : Maintenir dans l’immobilité.";""
"s'implanter";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"";"";"";" Se fixer dans, s'introduire. / S'insérer plus ou moins bien. / Se fixer dans un lieu particulier, de manière durable.";"";""
"s'incliner";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"manière";"schéma moteur";"";"Forme pronominale de ""incliner"" : Placer, disposer avec un certain angle par rapport à un plan, en particulier celui de l'horizon. /  Mettre en position oblique ce qui est normalement ou naturellement vertical; courber vers le sol, faire pencher.";"Pencher son buste ou sa tête vers l’avant pour saluer.";""
"s'inclure";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Forme pronominale de ""inclure"" : Mettre, comprendre quelque chose dans autre chose qui le contient. Anton. exclure. ";"";""
"s'incorporer";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Forme pronominale de ""incorporer"" : Mélanger intimement (une substance) avec (une autre), de façon à obtenir un tout homogène. Synon. amalgamer, combiner, mêler. / Intégrer (un élément) à (un ensemble); faire entrer (une partie) dans (un tout). Synon. insérer, rattacher. / Synon. de s'intégrer à. ";"Forme pronominale de ""incorporer"" : Mêler, unir ensemble certaines matières, et en faire un corps qui ait quelque consistance.";""
"s'incrustrer";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"manière";"immixtion";"";"S'enfoncer profondément et rester./ (Péj.) S'installer (trop) durablement. ";"S'installer, sans gêne, dans un lieu où l'on est indésirable.";""
"s'infiltrer";"Dpt au sens large";"Dpt au sens strict";"télique";"manière";"discrétion";"immixtion";"(L'action concerne un liquide) Pénétrer comme par un filtre à travers les interstices ou les pores d'un corps solide. / S'introduire furtivement. / S'insinuer.";"Pénétrer comme par un filtre à travers les interstices d’une substance, en parlant d’un liquide.";""
"s'ingérer";"Mouvement inféré";"";"télique";"manière";"discrétion";"immixtion";"S'introduire indûment ou indiscrètement (dans l'activité d'autrui).";"";""
"s'insérer";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Forme pronominale de ""insérer"" : Introduire (un objet dans une chose, entre d'autres choses, en général dans un espace réduit ou prévu à cet effet).";"Forme pronominale de ""insérer"" : Introduire une chose dans une autre de façon qu’elle forme un tout avec elle.";""
"s'insinuer";"Dpt au sens large";"Dpt au sens strict";"télique";"manière";"discrétion";"immixtion";"Pénétrer doucement et progressivement dans quelque chose. Synon. s'infiltrer.";"Se faire admettre quelque part, s’y introduire avec adresse, en parlant des personnes.";""
"s'installer";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"";"";"";"Se fixer durablement (dans une résidence, dans un local d'habitation, d'étude ou à usage professionnel); prendre possession d'(un nouveau logement, en y disposant le mobilier et les accessoires nécessaires ou souhaités). Synon. emménager, s'établir, se loger.";"Se placer, s’établir à un endroit.";""
"s'intégrer";"Dpt au sens large";"Dpt au sens strict";"télique";"manière";"discrétion";"";"S'introduire dans un ensemble, s'y assimiler. ";"Forme pronominale de ""intégrer"" : Assembler des parties pour former un tout.";""
"s'intercaler";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Forme pronominale de ""intercaler"" : Introduire, insérer, ajouter quelque chose dans un ensemble constitué, dans une série.";"Forme pronominale de ""intercaler"" : Ajouter quelque chose après coup.";""
"s'interposer";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"";"";"";"Venir se poser entre. ";"Forme pronominale de ""interposer"" : Mettre une chose entre deux autres.";""
"s'intriquer";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"manière";"(re)configuration de la cible";"";"Se mêler étroitement.";"Forme pronominale de ""intriquer"" : Mêler de façon embrouillée.";""
"s'introduire 1";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Entrer.";"Forme pronominale de ""introduire"" : Faire entrer une chose dans une autre. / Faire entrer, conduire quelqu’un dans un lieu.";""
"s'introduire 2";"Dpt au sens large";"Dpt au sens strict";"télique";"manière";"immixtion";"";"Pénétrer. => s'insinuer";"Pénétrer.";""
"s'intruisionner";"Dpt au sens large";"Dpt au sens strict";"télique";"manière";"immixtion";"";"";"S'introduire sans permission dans un endroit.";""
"s'irruer";"Dpt au sens large";"Dpt au sens strict";"télique";"manière";"puissance de la force";"vitesse";"Se précipiter, faire irruption.";"Se ruer à l'intérieur.";""
"s'isoler";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"";"";"";"Se mettre à l'écart. ";"Se séparer de la société, se mettre à l’écart physiquement ou mentalement.";""
"s’arrondir";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"manière";"(re)configuration de la cible";"";"Prendre une forme approximativement ronde.";"";""
"s’ériger";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"manière";"(re)configuration de la cible";"";"Se dresser, se placer à la verticale.";"Se dresser s’élever.";""
"s’ouvrir";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"manière";"(re)configuration de la cible";"";"Déplacer ce qui ferme un espace de manière à ce que l'intérieur de cet espace communique avec l'extérieur.";"Devenir ou être ouvert. / Écarter ce qui est replié, ce qui est joint ; déployer.";""
"saillir";"Dpt au sens large";"Dpt au sens strict";"télique";"manière";"puissance de la force";"vitesse";"(Le sujet désigne un liquide) Jaillir avec force. / (Le sujet désigne une pers.) Sortir en s'élançant pour attaquer.";"(Vieilli) Jaillir, sortir avec impétuosité et par secousses, en parlant des choses liquides.";""
"saumoner";"Dpt au sens large";"Dpt au sens faible";"atélique";"";"";"";"";"Se déplacer dans un train en marche, notamment dans un tgv, pour être en position plus favorable lors de son arrêt, une fois arrivé à destination.";""
"sauteler";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"schéma moteur";"puissance de la force";"Se déplacer en faisant de petits sauts. Synon. sautiller. / (Le suj. désigne une pers.) Faire des sauts d'un pied sur l'autre ou à cloche-pied. / (Le suj. désigne un cours d'eau) Faire de petits bonds. ";"Sautiller.";""
"sauter";"Dynamicité spatiale sans dpt";"Simple ch. de relation";"télique";"manière";"schéma moteur";"puissance de la force";"Se détacher un bref moment de l'endroit où l'on est par une brusque détente du corps et exécuter ainsi un déplacement pour franchir un espace ou un obstacle. Synon. bondir. / (Le suj. désigne certains oiseaux, certains animaux) Se déplacer au sol par des bonds successifs. Synon. sauteler /  Faire une série de bonds. Synon. cabrioler, gambader.";"S’élancer en l’air, soit pour retomber au même endroit, soit pour franchir un espace. / S’élancer avec vivacité sur quelqu’un, sur quelque chose.";""
"sautiller";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"schéma moteur";"puissance de la force";"Se déplacer par petits bonds, faire de petits bonds. /  Faire de petits sauts. Synon. sauter. /  Faire de petits bonds vifs et saccadés.";"Faire de petits sauts redoublés.";""
"sautillonner";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"schéma moteur";"puissance de la force";"Sautiller un peu et sans cesse.";"Sautiller.";""
"scottisher";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"schéma moteur";"";"";"Danser la scottish.";""
"se baguenauder";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"finalité";"";"Se promener sans but précis. Synon. se balader";"Se promener, flâner sans but précis.";""
"se baisser";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"manière";"schéma moteur";"";"Se mettre dans une position moins haute que la position naturelle, verticale; pencher, ployer son corps. Anton. se lever, se relever, se redresser ";"";"'+ se hausser - se pencher - s'agenouiller - se détourner - s'effondrer - syn fam de tomber
ruer, se cabrer (cheval) ?
frétiller (poisson) ?
se trémousser - se tortiller - se tordre - se tortiller - se convulser - trépigner
tituber - vaciller - chanceler 
ondoyer, onduler (blés) ?
claquer (volets, drapeau) flotter (drapeau) ?"
"se balader";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"finalité";"";"Se promener, flâner. / Circuler, se déplacer sans cesse.";"Se promener.";""
"se balancer";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"animation par mouvement";"";"Se mouvoir alternativement d'un côté et de l'autre. / Être animé d'un mouvement d'oscillation. / Flotter, ondoyer dans l'air.";"Aller et venir sur une balançoire.";""
"se barrer";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";" S'en aller.";"S'en aller, partir.";""
"se bloquer";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"";"";"";"Synon. s'arrêter, s'immobiliser (sur/contre), se coincer.";"Se coincer.";""
"se blottir";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"manière";"(re)configuration de la cible";"";"Se replier sur soi-même de façon à occuper le moins de place possible; se pelotonner. /  Trouver un refuge, un abri en se cachant.";"S’accroupir, se ramasser de manière à tenir le moins d’espace possible. / Se tenir l’un contre l’autre.";""
"se boucler";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"manière";"(re)configuration de la cible";"";"";"(Familier) Se fermer.";""
"se brancher";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"";"";"";"Se diviser en plusieurs parties.";"";""
"se cabrer";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"manière";"schéma moteur";"";"[Le suj. désigne un animal, le plus souvent un cheval] Se dresser sur les membres postérieurs.";"Se dresser sur les pieds de derrière, en parlant d’un cheval effarouché.";""
"se cacher";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"";"";"";"Se soustraire aux regards d'autrui ou à ses recherches, souvent en se retirant dans un lieu secret.";"Se soustraire à la vue, se dissimuler";""
